,price,year,manufacturer,model,condition,fuel,odometer,title_status,transmission,type,paint_color
47996,0,2017.0,,ALL MAKES,,other,100000.0,clean,other,,
47997,9995,2006.0,toyota,tundra sr5,,gas,227912.0,clean,automatic,pickup,grey
47998,8700,1990.0,ford,bronco ii,excellent,gas,149000.0,clean,manual,SUV,white
47999,10988,2015.0,hyundai,sonata 2.4l sport pzev,excellent,gas,111220.0,clean,automatic,other,
48000,21767,2013.0,toyota,tacoma sr5 double cab,excellent,gas,112357.0,clean,automatic,truck,
48001,6995,2009.0,honda,fit,,gas,117513.0,clean,automatic,hatchback,
48002,33980,2019.0,ford,transit 250,,gas,18576.0,clean,automatic,van,white
48003,11999,2012.0,bmw,3 series 328i sedan 4d,excellent,gas,87887.0,,other,sedan,
48004,29980,2012.0,ram,2500,,gas,59452.0,clean,automatic,pickup,white
48005,3500,1991.0,dodge,stealth,excellent,gas,200900.0,clean,manual,,
48006,11995,2016.0,ford,fusion,,gas,111871.0,clean,automatic,,
48007,29995,2017.0,ram,1500,,gas,62729.0,clean,automatic,,
48008,72998,2018.0,chevrolet,silverado 2500hd,excellent,diesel,33397.0,clean,automatic,truck,
48009,10000,2005.0,bmw,z4 2.5i,excellent,gas,86700.0,clean,other,convertible,black
48010,41980,2018.0,ram,2500,,gas,18806.0,clean,automatic,pickup,white
48011,13750,2011.0,jeep,wrangler sport,good,gas,120000.0,salvage,automatic,offroad,white
48012,8990,2012.0,mini,cooper countryman s all4,,gas,150382.0,clean,manual,wagon,white
48013,11860,2014.0,ford,fusion,,gas,81295.0,clean,automatic,sedan,white
48014,31813,2014.0,ford,f-150,,gas,5992.0,clean,automatic,truck,black
48015,451,2005.0,gmc,sierra 2500hd,,diesel,82667.0,clean,automatic,truck,
48016,23500,2014.0,chevrolet,suburban,,gas,115239.0,clean,automatic,SUV,white
48017,10995,2005.0,toyota,sequoia,,gas,177496.0,clean,automatic,SUV,grey
48018,485,2017.0,chevrolet,tahoe,,gas,62219.0,clean,automatic,SUV,
48019,20500,2011.0,lexus,rx350,excellent,gas,107500.0,clean,automatic,SUV,grey
48020,28990,2018.0,toyota,4runner sr5 sport utility,good,gas,62819.0,clean,other,SUV,black
48021,35590,2013.0,ford,mustang boss 302 coupe 2d,good,gas,33692.0,clean,other,coupe,white
48022,38590,2012.0,chevrolet,corvette grand sport,good,gas,32086.0,clean,automatic,convertible,white
48023,29990,2017.0,jeep,wrangler unlimited sport,good,gas,26965.0,clean,other,SUV,
48024,26990,2016.0,chevrolet,colorado crew cab z71,good,gas,73371.0,clean,other,pickup,white
48025,47990,2018.0,bmw,7 series 750i sedan 4d,good,other,42907.0,clean,automatic,sedan,
48026,25990,2020.0,chevrolet,camaro lt coupe 2d,good,gas,21938.0,clean,other,coupe,green
48027,52990,2019.0,ram,2500 crew cab big horn,good,diesel,32119.0,clean,other,pickup,black
48028,19990,2012.0,mazda,mx-5 miata grand touring,good,gas,29993.0,clean,other,other,silver
48029,21590,2016.0,audi,a3 2.0t premium plus sedan,good,other,49262.0,clean,other,sedan,silver
48030,24590,2012.0,jeep,wrangler sahara sport,good,gas,62362.0,clean,other,SUV,red
48031,38590,2019.0,ford,f150 supercrew cab xlt,good,other,77492.0,clean,other,pickup,
48032,34900,2007.0,ram,2500 diesel 4x4 5.9l c,,diesel,178000.0,clean,manual,pickup,custom
48033,31900,1999.0,ford,f-350 diesel 4x4 7.3l power stroke turbo diesel crew cab dually xlt,,diesel,127000.0,clean,automatic,pickup,green
48034,32900,2004.0,ram,2500 diesel 4x4 5.9l h,,diesel,133000.0,clean,automatic,pickup,white
48035,29900,1999.0,ram,2500 diesel 4x4 5.9l cummins turbo diesel quad cab short bed low miles,,diesel,113000.0,clean,automatic,pickup,white
48036,21900,2008.0,ford,f-250 super duty 4x4 6.8l v,,gas,165000.0,clean,automatic,pickup,blue
48037,700,1991.0,ford,ranger,good,gas,60000.0,parts only,automatic,pickup,white
48038,14995,2012.0,honda,cr-v ex-l 4wd 5-speed at,excellent,gas,99090.0,clean,automatic,SUV,black
